model,case_id,trace_id,base_is_correct,n_sentences,n_boundaries,vocabulary_size,converge_boundary_tvd,converge_token_frac_tvd,tvd_max_first,tvd_max_at_convergence,tvd_median_first
deepseek-r1-distill-qwen-1.5b,9d8432d3b13c02fb04b55e0a74c6c063,ea2cff444a41cf1d0cbc8057ac9e81ea829127d597ac9a37267b81ec4b73cc14,True,29,30,61,28,0.9575070821529745,1.0000000000000002,0.15000000000000002,1.0
deepseek-r1-distill-qwen-1.5b,9d8432d3b13c02fb04b55e0a74c6c063,59061cfe86839e20b159e9c9cb1aee5268a49f57b2a382b7711df4f169496c5a,False,26,27,123,20,0.7187993680884676,1.0000000000000002,0.19999999999999998,0.7418300653594772
deepseek-r1-distill-qwen-1.5b,a255fd4b2fac78a3faaf47bd17cd723f,a60a9f3525a806b149de08c55a6b338e99b259b53ede3dcc351d9fc4e741ce5b,True,14,15,51,12,0.8346055979643766,1.0,0.055555555555555566,0.9181286549707601
deepseek-r1-distill-qwen-1.5b,a255fd4b2fac78a3faaf47bd17cd723f,7645105f709276395f35b233deb33e6a384cfdfa25c12c0cde4b630ebe8ef09e,False,20,21,84,18,0.8891402714932126,0.8500000000000003,0.15000000000000002,0.7709064327485382
deepseek-r1-distill-qwen-1.5b,ab0226a3a9dc01c8c9b91a47198bed63,d583085fd15d9275f16dfaf2dfc0d4e96bec8c6a587e3ab73269adfe528b2cab,True,21,22,15,21,1.0,1.0,0.0,0.1
deepseek-r1-distill-qwen-1.5b,ab0226a3a9dc01c8c9b91a47198bed63,3f1d040fe37bc8d88cbe6af93ee0a92602f74a96a95d1a1c6697f2fd99383b48,False,17,18,13,2,0.07507507507507508,0.24999999999999994,0.15,0.050000000000000024
deepseek-r1-distill-qwen-1.5b,ab79da6338f2deff095e1bf3b5b4d9f0,3e68f7a1084358c68cbaaf31efd0b7ab7a367a6cc4109d36fce19a7c0b021e8e,True,13,14,30,8,0.5215686274509804,0.7000000000000001,0.09999999999999998,0.6000000000000001
deepseek-r1-distill-qwen-1.5b,ab79da6338f2deff095e1bf3b5b4d9f0,1b7fcaf9ac1e4d92c48b5cc7411857956e1d37a76383f60fd767a7d204799386,False,16,17,35,12,0.7259887005649718,0.9473684210526315,0.050000000000000024,0.5105263157894737
deepseek-r1-distill-qwen-1.5b,b1e59a85b6e9c1e020d2392193d668fb,58053f44a43b851654721150ab107eaec67d121c68eb5d1c9cca7cc785e51a02,True,14,15,52,11,0.7938718662952646,1.0,0.052631578947368446,0.8500000000000001
deepseek-r1-distill-qwen-1.5b,b1e59a85b6e9c1e020d2392193d668fb,e99a9005365972b05d8745fdcd817a2eaeac028f7954dd4a77c80f636feec1c4,False,14,15,81,11,0.7678018575851393,0.9000000000000002,0.09999999999999999,0.716666666666667
